id,name,partei_kurz,partei,farbe
1,"Bork, Christian",AfD,Alternative für Deutschland,#009EE0
2,"Beyer, Gordon",CDU,Christliche Demokratische Union Deutschlands,#1b191d
3,"Hennig, Stefan",UBW,Listenvereinigung BfVG-WBv-UMHeide,#f4cbb2
4,"Hartphiel, Christian",SPD,Sozialdemokratische Partei Deutschlands,#E3000F
5,"Wolk, Andreas",Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",#B91023
6,"Lambrecht-Süßenbach, Cornelia",Einzelwahlvorschlag,Einzelbewerberin,#c8c652
